SourceFile	Instrument	SerialNumber	DeconvolutionEngine	StartTimeStamp	RTDuration	mzMLMS1Count	mzMLMSnCount	DeconvMSnWithPeaksCount	DeconvMSnWithoutPeaksCount	DeconvMSnWithPeaksFraction	Redundancy	HighestDegree	LargestComponentSize	ComponentCount	mzMLHCDCount	mzMLCIDCount	mzMLETDCount	mzMLECDCount	mzMLEThcDCount	mzMLETciDCount	mzMLPreZMin	mzMLPreZQ1	mzMLPreZQ2	mzMLPreZQ3	mzMLPreZMax	DeconvPreZMin	DeconvPreZQ1	DeconvPreZQ2	DeconvPreZQ3	DeconvPreZMax	DeconvPreMassMin	DeconvPreMassQ1	DeconvPreMassQ2	DeconvPreMassQ3	DeconvPreMassMax	mzMLPeakCountMin	mzMLPeakCountQ1	mzMLPeakCountQ2	mzMLPeakCountQ3	mzMLPeakCountMax	DeconvPeakCountMin	DeconvPeakCountQ1	DeconvPeakCountQ2	DeconvPeakCountQ3	DeconvPeakCountMax	AALinkCountMin	AALinkCountQ1	AALinkCountQ2	AALinkCountQ3	AALinkCountMax	TagLengthMin	TagLengthQ1	TagLengthQ2	TagLengthQ3	TagLengthMax	AALinkCountAbove2	TagLengthAbove2
06102019_RVG262_PLRPS_FAIMS_CV_Neg100_F1_CD3	Orbitrap Fusion Lumos	FSN20169	FLASHDeconv	2019-06-11T18:03:58Z	80.55048	1603	559	0	0	0	0	0	0	0	559	0	0	0	0	0	1	1	2	3	3	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	8	15	17	20	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06102019_RVG262_PLRPS_FAIMS_CV_neg10_F1_CD3	Orbitrap Fusion Lumos	FSN20169	FLASHDeconv	2019-06-12T08:09:08Z	80.981094	688	1096	429	0	0.39142334	0.0015467398	10	21	355	1096	0	0	0	0	0	1	1	3	7	10	1	8	10	16	72	662.443154	7356.316426	10751.450926	13780.498029	56048.834847	9	39	183	497	3465	3	7	20	43	148	0	0	3	11	106	0	0	1	4	18	234	150
06102019_RVG262_PLRPS_FAIMS_CV_neg110_F1_CD3	Orbitrap Fusion Lumos	FSN20169	FLASHDeconv	2019-06-11T16:30:07Z	79.55477	1837	432	0	0	0	0	0	0	0	432	0	0	0	0	0	1	1	2	3	3	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	7	15	17	20	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06102019_RVG262_PLRPS_FAIMS_CV_neg120_F1_CD3	Orbitrap Fusion Lumos	FSN20169	FLASHDeconv	2019-06-11T14:56:10Z	80.809326	1992	347	0	0	0	0	0	0	0	347	0	0	0	0	0	1	1	2	3	3	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	5	14	17	20	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06102019_RVG262_PLRPS_FAIMS_CV_neg20_F1_CD3	Orbitrap Fusion Lumos	FSN20169	FLASHDeconv	2019-06-12T06:35:11Z	80.929146	791	1130	738	0	0.65309733	0.0020628565	27	28	554	1130	0	0	0	0	0	1	1	6	9	10	1	7	9	10	40	669.500077	7449.795453	8936.678968	11341.38279	37026.499611	10	120	475	1069	4421	3	16	36	66	197	0	2	9	25	146	0	1	3	6	31	531	405
06102019_RVG262_PLRPS_FAIMS_CV_neg30_F1_CD3	Orbitrap Fusion Lumos	FSN20169	FLASHDeconv	2019-06-12T05:01:20Z	78.95876	864	1035	738	0	0.71304345	0.0051185316	44	95	466	1035	0	0	0	0	0	1	6	8	9	10	3	7	9	10	18	3153.652297	6679.339359	7685.464373	9044.002054	16779.806047	10	108	526	1193	4278	3	20	56	93	197	0	5	19	51	233	0	2	5	8	28	613	527
06102019_RVG262_PLRPS_FAIMS_CV_neg40_F1_CD3	Orbitrap Fusion Lumos	FSN20169	FLASHDeconv	2019-06-12T03:27:23Z	80.82282	845	983	630	0	0.64089525	0.0072173015	52	80	425	983	0	0	0	0	0	1	4	7	8	10	3	6	8	9	45	1955.087398	4872.570855	6528.447186	7185.738148	38785.717169	8	43	124	745	3433	3	10	40	89	211	0	2	15	46	292	0	1	4	8	24	461	397
06102019_RVG262_PLRPS_FAIMS_CV_neg50_F1_CD3	Orbitrap Fusion Lumos	FSN20169	FLASHDeconv	2019-06-12T01:53:31Z	80.845406	925	924	409	0	0.4426407	0.0018816817	13	19	344	924	0	0	0	0	0	1	4	5	6	10	3	5	6	8	15	2377.246717	3444.533025	4457.400023	6168.843304	11853.173168	9	25	46	172	3119	3	7	18	43	194	0	1	5	19	255	0	1	2	5	18	259	192
06102019_RVG262_PLRPS_FAIMS_CV_neg60_F1_CD3	Orbitrap Fusion Lumos	FSN20169	FLASHDeconv	2019-06-12T00:19:34Z	80.63935	1002	878	165	0	0.18792711	0.0012564671	4	6	152	878	0	0	0	0	0	1	2	3	4	10	3	4	5	6	8	1967.947765	3443.514987	3619.114903	4648.692922	6881.797088	7	16	21	35	2957	3	5	11	27	151	0	0	2	12	185	0	0	1	3	21	76	57
06102019_RVG262_PLRPS_FAIMS_CV_neg70_F1_CD3	Orbitrap Fusion Lumos	FSN20169	FLASHDeconv	2019-06-11T22:45:42Z	80.95771	1089	833	36	0	0.043217286	0	0	1	36	833	0	0	0	0	0	1	2	2	3	10	3	4	5	6	8	1960.050102	2885.421825	3526.95836	4170.944143	5711.010964	9	15	18	22	480	3	4	5	10	40	0	0	1	3	14	0	0	1	2	5	13	8
