SourceFile	Instrument	SerialNumber	DeconvolutionEngine	StartTimeStamp	RTDuration	mzMLMS1Count	mzMLMSnCount	DeconvMSnWithPeaksCount	DeconvMSnWithoutPeaksCount	DeconvMSnWithPeaksFraction	Redundancy	HighestDegree	LargestComponentSize	ComponentCount	mzMLHCDCount	mzMLCIDCount	mzMLETDCount	mzMLECDCount	mzMLEThcDCount	mzMLETciDCount	mzMLPreZMin	mzMLPreZQ1	mzMLPreZQ2	mzMLPreZQ3	mzMLPreZMax	DeconvPreZMin	DeconvPreZQ1	DeconvPreZQ2	DeconvPreZQ3	DeconvPreZMax	DeconvPreMassMin	DeconvPreMassQ1	DeconvPreMassQ2	DeconvPreMassQ3	DeconvPreMassMax	mzMLPeakCountMin	mzMLPeakCountQ1	mzMLPeakCountQ2	mzMLPeakCountQ3	mzMLPeakCountMax	DeconvPeakCountMin	DeconvPeakCountQ1	DeconvPeakCountQ2	DeconvPeakCountQ3	DeconvPeakCountMax	AALinkCountMin	AALinkCountQ1	AALinkCountQ2	AALinkCountQ3	AALinkCountMax	TagLengthMin	TagLengthQ1	TagLengthQ2	TagLengthQ3	TagLengthMax	AALinkCountAbove2	TagLengthAbove2
06102019_RVG262_PLRPS_FAIMS_CV_Neg100_F1_CD3	Orbitrap Fusion Lumos	FSN20169		2019-06-11T18:03:58Z	80.55048	1603	559	0	0	0	0	0	0	0	559	0	0	0	0	0	1	1	2	3	3	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	8	15	17	20	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06102019_RVG262_PLRPS_FAIMS_CV_neg10_F1_CD3	Orbitrap Fusion Lumos	FSN20169	ProteomeDiscoverer:Xtract	2019-06-12T08:09:08Z	80.981094	688	1096	318	0	0.290146	0.0019641689	9	11	270	1096	0	0	0	0	0	1	1	3	7	10	1	7	9	14	22	757.55076353	7953.630674710001	11341.41050824	13750.51530353	25595.231277659997	9	39	183	497	3465	4	12	30	74	188	0	1	6	20	111	0	1	2	4	14	221	138
06102019_RVG262_PLRPS_FAIMS_CV_neg110_F1_CD3	Orbitrap Fusion Lumos	FSN20169		2019-06-11T16:30:07Z	79.55477	1837	432	0	0	0	0	0	0	0	432	0	0	0	0	0	1	1	2	3	3	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	7	15	17	20	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06102019_RVG262_PLRPS_FAIMS_CV_neg120_F1_CD3	Orbitrap Fusion Lumos	FSN20169		2019-06-11T14:56:10Z	80.809326	1992	347	0	0	0	0	0	0	0	347	0	0	0	0	0	1	1	2	3	3	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	5	14	17	20	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06102019_RVG262_PLRPS_FAIMS_CV_neg20_F1_CD3	Orbitrap Fusion Lumos	FSN20169	ProteomeDiscoverer:Xtract	2019-06-12T06:35:11Z	80.929146	791	1130	637	0	0.5637168	0.0022856747	25	26	492	1130	0	0	0	0	0	1	1	6	9	10	1	7	9	10	21	2085.12070706	7810.206204709999	10049.92248177	11659.706781179999	35256.03412471	10	120	475	1069	4421	4	16	42	84	325	0	3	11	35	220	0	1	3	6	28	499	378
06102019_RVG262_PLRPS_FAIMS_CV_neg30_F1_CD3	Orbitrap Fusion Lumos	FSN20169	ProteomeDiscoverer:Xtract	2019-06-12T05:01:20Z	78.95876	864	1035	664	0	0.6415459	0.0048110997	39	84	423	1035	0	0	0	0	0	1	6	8	9	10	1	7	9	10	16	2569.26460059	6643.43688177	7644.99362824	9363.86688177	16780.758616479998	10	108	526	1193	4278	4	21	58	109	333	0	5	23	59	319	0	2	5	8	33	573	486
06102019_RVG262_PLRPS_FAIMS_CV_neg40_F1_CD3	Orbitrap Fusion Lumos	FSN20169	ProteomeDiscoverer:Xtract	2019-06-12T03:27:23Z	80.82282	845	983	551	0	0.560529	0.006850355	44	76	369	983	0	0	0	0	0	1	4	7	8	10	3	6	8	9	30	1955.0914005900004	4589.611484710001	6407.246601180001	7172.80898824	27242.412705900002	8	43	124	745	3433	4	10	40	103	310	0	2	14	49	357	0	1	4	8	28	393	348
06102019_RVG262_PLRPS_FAIMS_CV_neg50_F1_CD3	Orbitrap Fusion Lumos	FSN20169	ProteomeDiscoverer:Xtract	2019-06-12T01:53:31Z	80.845406	925	924	325	0	0.3517316	0.0020322886	13	19	280	924	0	0	0	0	0	1	4	5	6	10	3	5	6	8	14	2383.3474005900002	3445.53661765	4457.40511765	6090.10103471	11853.19090942	9	25	46	172	3119	4	8	20	49	319	0	1	5	18	339	0	1	2	5	26	208	144
06102019_RVG262_PLRPS_FAIMS_CV_neg60_F1_CD3	Orbitrap Fusion Lumos	FSN20169	ProteomeDiscoverer:Xtract	2019-06-12T00:19:34Z	80.63935	1002	878	125	0	0.14236902	0.001032258	3	5	118	878	0	0	0	0	0	1	2	3	4	10	4	4	5	6	8	2704.50761412	3443.5209176500002	3794.03451765	4648.70738118	6881.801868240001	7	16	21	35	2957	4	7	15	31	304	0	1	3	10	226	0	1	2	3	22	69	46
06102019_RVG262_PLRPS_FAIMS_CV_neg70_F1_CD3	Orbitrap Fusion Lumos	FSN20169	ProteomeDiscoverer:Xtract	2019-06-11T22:45:42Z	80.95771	1089	833	18	0	0.021608643	0	0	1	18	833	0	0	0	0	0	1	2	2	3	10	3	5	5	6	8	2064.12070059	3383.74901765	3901.0977811800003	4623.34772118	5711.004668240001	9	15	18	22	480	5	5	7	9	46	0	1	2	3	18	0	1	1	2	5	7	4
