SourceFile	Instrument	SerialNumber	DeconvolutionEngine	StartTimeStamp	RTDuration	mzMLMS1Count	mzMLMSnCount	DeconvMSnWithPeaksCount	DeconvMSnWithoutPeaksCount	DeconvMSnWithPeaksFraction	Redundancy	HighestDegree	LargestComponentSize	ComponentCount	mzMLHCDCount	mzMLCIDCount	mzMLETDCount	mzMLECDCount	mzMLEThcDCount	mzMLETciDCount	mzMLPreZMin	mzMLPreZQ1	mzMLPreZQ2	mzMLPreZQ3	mzMLPreZMax	DeconvPreZMin	DeconvPreZQ1	DeconvPreZQ2	DeconvPreZQ3	DeconvPreZMax	DeconvPreMassMin	DeconvPreMassQ1	DeconvPreMassQ2	DeconvPreMassQ3	DeconvPreMassMax	mzMLPeakCountMin	mzMLPeakCountQ1	mzMLPeakCountQ2	mzMLPeakCountQ3	mzMLPeakCountMax	DeconvPeakCountMin	DeconvPeakCountQ1	DeconvPeakCountQ2	DeconvPeakCountQ3	DeconvPeakCountMax	AALinkCountMin	AALinkCountQ1	AALinkCountQ2	AALinkCountQ3	AALinkCountMax	TagLengthMin	TagLengthQ1	TagLengthQ2	TagLengthQ3	TagLengthMax	AALinkCountAbove2	TagLengthAbove2
06102019_RVG262_PLRPS_FAIMS_CV_Neg100_F1_CD3	Orbitrap Fusion Lumos	FSN20169	TopFD	2019-06-11T18:03:58Z	80.55048	1603	559	3	556	0.0053667263	0	0	1	3	559	0	0	0	0	0	1	1	2	3	3	0	1	2	7	30	649.57231	980.12785	1916.42133	5994.14076	33391.14414	8	15	17	20	33	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
06102019_RVG262_PLRPS_FAIMS_CV_neg10_F1_CD3	Orbitrap Fusion Lumos	FSN20169	TopFD	2019-06-12T08:09:08Z	80.981094	688	1096	613	483	0.55930656	0.0003785092	8	15	567	1096	0	0	0	0	0	1	1	3	7	10	0	2	9	16	30	649.29952	3157.87852	9925.43534	13889.78939	28234.92007	9	39	183	497	3465	0	0	1	18	242	0	0	3	14	171	0	0	1	3	14	266	162
06102019_RVG262_PLRPS_FAIMS_CV_neg110_F1_CD3	Orbitrap Fusion Lumos	FSN20169	TopFD	2019-06-11T16:30:07Z	79.55477	1837	432	1	431	0.0023148148	0	0	1	1	432	0	0	0	0	0	1	1	2	3	3	0	1	2	5	30	654.83874	1022.43919	2084.1082	5656.18442	31661.43431	7	15	17	20	33	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
06102019_RVG262_PLRPS_FAIMS_CV_neg120_F1_CD3	Orbitrap Fusion Lumos	FSN20169	TopFD	2019-06-11T14:56:10Z	80.809326	1992	347	2	345	0.0057636886	0	0	1	2	347	0	0	0	0	0	1	1	2	3	3	0	1	2	5	30	655.3665	1044.24907	2088.98305	4331.08658	28441.88245	5	14	17	20	33	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
06102019_RVG262_PLRPS_FAIMS_CV_neg20_F1_CD3	Orbitrap Fusion Lumos	FSN20169	TopFD	2019-06-12T06:35:11Z	80.929146	791	1130	857	273	0.75840706	0.001016914	24	26	733	1130	0	0	0	0	0	1	1	6	9	10	0	5	9	12	30	649.43068	5717.23844	9044.01309	11599.34637	29022.29981	10	120	475	1069	4421	0	1	19	68	252	0	1	9	28	203	0	1	3	5	27	551	410
06102019_RVG262_PLRPS_FAIMS_CV_neg30_F1_CD3	Orbitrap Fusion Lumos	FSN20169	TopFD	2019-06-12T05:01:20Z	78.95876	864	1035	811	224	0.7835749	0.0035316863	45	79	568	1035	0	0	0	0	0	1	6	8	9	10	0	6	8	10	27	657.12352	6113.39054	7263.72747	9074.99568	25873.88248	10	108	526	1193	4278	0	1	30	90	219	0	4	21	54	231	0	2	4	7	23	605	518
06102019_RVG262_PLRPS_FAIMS_CV_neg40_F1_CD3	Orbitrap Fusion Lumos	FSN20169	TopFD	2019-06-12T03:27:23Z	80.82282	845	983	742	241	0.75483215	0.0043359487	50	78	556	983	0	0	0	0	0	1	4	7	8	10	0	4	7	9	21	652.18074	3476.51529	6061.22631	6937.66923	16872.31987	8	43	124	745	3433	0	1	8	57	165	0	0	10	41	162	0	0	3	6	21	442	371
06102019_RVG262_PLRPS_FAIMS_CV_neg50_F1_CD3	Orbitrap Fusion Lumos	FSN20169	TopFD	2019-06-12T01:53:31Z	80.845406	925	924	607	317	0.6569264	0.00048390342	10	18	565	924	0	0	0	0	0	1	4	5	6	10	0	4	5	7	30	683.29425	3369.45477	3487.52429	5639.76875	32744.21681	9	25	46	172	3119	0	0	2	12	127	0	0	2	11	99	0	0	1	3	15	232	166
06102019_RVG262_PLRPS_FAIMS_CV_neg60_F1_CD3	Orbitrap Fusion Lumos	FSN20169	TopFD	2019-06-12T00:19:34Z	80.63935	1002	878	275	603	0.31321186	0.0001592568	2	3	270	878	0	0	0	0	0	1	2	3	4	10	0	2	4	5	30	667.61571	2002.92525	3439.45837	4247.24832	31805.24608	7	16	21	35	2957	0	0	0	1	93	0	0	1	6	60	0	0	1	2	12	76	46
06102019_RVG262_PLRPS_FAIMS_CV_neg70_F1_CD3	Orbitrap Fusion Lumos	FSN20169	TopFD	2019-06-11T22:45:42Z	80.95771	1089	833	59	774	0.07082833	0	0	1	59	833	0	0	0	0	0	1	2	2	3	10	0	1	3	5	30	652.376	1114.1746	2431.28505	4173.85382	30239.8777	9	15	18	22	480	0	0	0	0	53	0	0	0	2	25	0	0	0	1	5	11	7
